last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	participation	weekly %	midterm	final	total	grade
2041	7	14	19	16	16	16	13	 	0	61.21%	84	91	77.68	2.4
2045	9	15	20	20	19	 	 	18	15	70.30%	72	65	68.52	1.5
2093	10	12	20	16	20	20	20	19	20	95.15%	82	58	77.66	2.4
2098	10	15	20	19	18	18	18	19	20	95.15%	81	80	86.26	3.1
2107	10	15	20	20	19	20	20	20	20	99.39%	92	90	94.16	3.8
2204	9	15	20	20	20	20	20	19	20	98.79%	94	95	96.32	4
2207	9	15	20	20	20	20	18	19	20	97.58%	90	91	93.43	3.7
2219	8	13	19	17	15	17	18	12	20	84.24%	81	79	81.50	2.7
2230	9	14	18	5	17	18	 	0	15	58.18%	87	86	75.07	2.1
2242	10	14	20	19	20	19	20	20	20	98.18%	86	94	94.07	3.8
2245	9	15	20	20	0	18	19	0	20	73.33%	89	46	65.53	1.2
2279	10	15	20	19	0	18	0	19	20	73.33%	69	64	68.73	1.5
2333	9	12	19	19	9	17	0	17	20	73.94%	60	82	74.38	2
2339	9	13	20	20	19	17	19	19	20	94.55%	90	72	84.62	3
2359	8	15	20	18	18	17	 	 	12	65.45%	36	 	33.38	0
2362	9	15	19	19	20	0	20	19	20	85.45%	81	65	76.38	2.2
2405	9	15	18	17	0	17	9	17	0	61.82%	31	12	35.73	0
2422	10	14	20	13	16	6	0	19	20	71.52%	81	62	69.61	1.6
2448	9	15	20	18	20	19	18	 	18	83.03%	87	84	84.21	2.9
2461	9	15	18	18	19	19	20	16	18	92.12%	74	65	77.65	2.4
2473	8	15	20	18	18	17	0	18	20	81.21%	89	75	80.28	2.6
2500	10	14	20	19	18	19	20	18	20	95.76%	96	98	96.70	4
2543	9	15	20	20	20	20	20	19	20	98.79%	81	92	92.52	3.7
2566	6	15	20	17	19	15	13	18	20	86.67%	61	87	81.67	2.7
2581	9	15	18	19	18	0	18	14	18	78.18%	90	95	87.27	3.2
2586	8	13	18	 	17	 	 	 	3	35.76%	44	 	23.10	0
2602	6	13	20	19	17	18	20	18	20	91.52%	81	85	86.81	3.2
2611	10	14	20	20	20	20	18	18	20	96.97%	97	98	97.39	4
2626	10	15	19	20	16	20	20	20	20	96.97%	97	92	94.99	3.9
2711	9	14	20	20	20	20	19	19	20	97.58%	79	75	84.83	3
