last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	weekly %	midterm	final	new final	total	grade
6157	13	15	16	16	19	20	18	30	 	86.47%	73	65	70	77.19	2.6
1301	18	17	14	19	19	17	18	30	 	89.41%	71	63	68	77.16	2.6
1167	17	15	18	16	16	15	19	29	 	85.29%	89	58	63	77.12	2.6
2230	12	18	16	17	18	6	16	26	 	75.88%	73	75	80	76.95	2.6
0895	19	19	20	19	19	16	20	28	 	94.12%	66	60	65	76.85	2.6
0068	20	20	19	17	20	16	20	29	 	94.71%	80	52	57	76.68	2.5
7120	19	20	19	20	19	18	18	26	 	93.53%	42	72	77	76.61	2.5
6934	20	18	20	19	17	12	19	18	 	84.12%	58	73	78	76.45	2.5
1796	18	19	17	20	19	14	19	29	 	91.18%	67	61	66	76.27	2.5
2674	19	19	19	20	17	6	16	7	 	72.35%	91	67	72	75.94	2.5
3178	19	19	17	19	20	20	17	29	2	95.29%	51	64	69	75.92	2.5
8876	17	16	17	20	18	12	17	26	 	84.12%	73	64	69	75.85	2.5
1246	19	19	13	19	18	18	20	29	 	91.18%	62	62	67	75.67	2.4
0519	19	20	18	20	20	19	19	29	 	96.47%	61	57	62	75.59	2.4
5587	19	15	19	20	20	17	20	30	 	94.12%	58	59	64	74.85	2.4
9840	20	20	18	16	20	18	17	30	 	93.53%	57	60	65	74.81	2.3
6178	19	18	17	20	20	19	20	 	 	78.24%	76	65	70	74.49	2.3
6360	15	19	15	19	20	15	18	26	 	86.47%	57	66	71	74.39	2.3
4157	15	20	17	19	19	15	18	30	 	90.00%	57	62	67	74.20	2.3
4464	18	18	19	19	20	14	20	28	 	91.76%	61	58	63	74.11	2.3
9502	19	17	18	19	17	15	18	9	 	77.65%	69	68	73	74.06	2.3
0320	18	19	17	15	18	13	19	15	 	78.82%	70	66	71	73.93	2.3
0785	8	13	19	20	19	20	17	22	 	81.18%	77	60	65	73.87	2.3
1471	17	15	18	18	18	17	20	29	 	89.41%	69	55	60	73.56	2.2
1809	19	17	20	17	19	18	16	18	 	84.71%	61	63	68	73.28	2.2
5548	18	19	17	18	18	14	20	26	 	88.24%	69	55	60	73.09	2.2
6664	9	20	18	20	16	19	19	25	 	85.88%	47	68	73	72.95	2.2
4628	15	19	17	18	15	3	14	19	 	70.59%	73	70	75	72.84	2.2
5720	20	17	13	17	15	18	18	28	 	85.88%	56	63	68	72.75	2.2
5715	20	16	19	16	20	17	20	0	 	75.29%	69	67	72	72.72	2.1
0538	18	20	18	20	19	19	15	28	 	92.35%	60	54	59	72.54	2.1
4862	13	14	14	16	19	13	19	25	 	78.24%	65	65	70	72.29	2.1
0593	16	17	12	18	19	20	20	25	 	86.47%	66	56	61	72.19	2.1
5744	19	16	16	19	17	13	17	23	 	82.35%	48	69	74	72.14	2.1
0593	20	14	15	18	13	11	19	24	 	78.82%	60	66	71	71.93	2.1
1181	19	20	18	19	18	19	20	29	 	95.29%	53	53	58	71.92	2.1
0623	9	15	15	17	18	14	19	26	 	78.24%	67	63	68	71.89	2.1
0482	8	17	14	16	19	11	19	19	 	72.35%	89	56	61	71.14	2
6005	15	17	18	17	15	 	 	9	 	53.53%	71	83	88	70.81	2
1049	19	19	18	17	20	17	18	30	 	92.94%	54	52	57	70.78	2
2212	8	16	8	9	18	18	17	29	 	72.35%	72	62	67	70.14	1.9
9187	18	18	11	 	19	15	 	23	 	61.18%	82	68	73	70.07	1.9
5299	17	15	14	19	14	4	19	28	 	76.47%	61	63	68	69.99	1.9
6887	19	16	19	14	20	17	20	30	 	91.18%	49	54	59	69.87	1.9
5591	 	14	15	17	11	17	15	30	 	70.00%	59	68	73	69.00	1.8
6151	18	20	16	20	19	16	20	25	 	90.59%	52	49	54	68.24	1.7
0382	18	20	15	19	19	20	20	27	 	92.94%	55	45	50	68.18	1.7
3477	9	12	14	15	10	18	18	15	 	65.29%	66	67	72	68.12	1.7
1535	20	19	17	18	15	10	19	18	 	80.00%	50	59	64	67.60	1.6
1317	14	17	18	17	17	12	20	29	 	84.71%	56	51	56	67.48	1.6
5539	15	18	11	19	19	15	20	29	 	85.88%	57	49	54	67.35	1.6
0440	18	12	15	18	17	17	17	0	 	67.06%	74	59	64	67.22	1.6
0047	13	17	0	15	0	19	16	17	 	57.06%	73	68	73	66.62	1.5
