last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	explore	weekly %	midterm	final	new final	total	grade
9102	16	12	5	18	8	3	11	18	 	0	53.53%	62	54	64	59.41	0.7
1635	13	12	13	16	10	15	10	8	 	0	57.06%	46	58	68	59.22	0.7
0797	17	13	17	15	17	0	 	11	 	0	52.94%	55	52	62	56.98	0.7
2921	17	18	15	13	 	4	 	 	 	0	39.41%	58	64	74	56.96	0.7
1965	11	14	10	13	19	10	15	29	 	0	71.18%	 	61	71	56.87	0.7
0653	20	17	20	 	 	 	 	 	 	0	33.53%	66	64	74	56.21	0
0714	13	14	9	15	 	3	17	 	 	0	41.76%	71	52	62	55.71	0
4070	18	9	14	17	4	13	11	2	 	0	51.76%	58	45	55	54.31	0
3357	19	18	15	15	14	8	8	 	 	0	57.06%	50	38	48	52.02	0
1089	17	15	17	13	17	 	 	 	 	0	46.47%	56	41	51	50.19	0
4613	17	14	9	16	2	5	7	1	 	0	41.76%	69	31	41	46.91	0
0055	18	11	0	15	7	 	5	 	 	3	33.53%	77	35	45	46.81	0
5217	18	6	 	8	11	12	10	 	 	0	38.24%	57	40	50	46.69	0
4756	15	10	 	15	10	13	 	 	 	0	37.06%	54	37	47	44.42	0
0506	19	17	18	16	19	18	17	27	 	0	88.82%	40	 	 	43.53	0
2788	 	10	8	 	 	 	 	 	 	0	10.59%	50	63	73	43.44	0
0675	17	18	12	16	9	0	 	 	 	0	42.35%	56	25	35	42.14	0
9862	19	15	9	2	2	5	8	3	 	0	37.06%	51	30	40	41.02	0
0918	 	 	5	11	 	 	 	13	 	0	17.06%	50	46	56	39.22	0
0427	19	12	13	14	14	 	 	 	 	0	42.35%	 	40	50	36.94	0
0670	19	18	18	16	 	 	 	 	 	0	41.76%	62	 	 	29.11	0
7753	18	1	0	0	0	 	0	 	 	0	11.18%	37	23	33	25.07	0
8549	6	3	1	 	1	 	 	 	 	0	6.47%	49	12	22	21.19	0
2781	16	3	 	14	 	 	 	 	 	0	19.41%	53	 	 	18.36	0
1151	18	 	 	 	14	 	 	 	 	0	18.82%	52	 	 	17.93	0
1931	1	2	 	 	 	 	 	 	 	0	1.76%	39	10	20	16.51	0
5012	 	 	 	 	 	 	 	 	 	0	0.00%	59	 	 	11.80	0
5200	 	14	 	 	 	 	 	 	 	0	8.24%	40	 	 	11.29	0
9972	11	11	8	14	 	 	 	 	 	0	25.88%	 	 	 	10.35	0
0895	20	17	 	 	 	 	 	 	 	0	21.76%	 	 	 	8.71	0
3849	19	17	0	 	 	 	 	 	 	0	21.18%	 	 	 	8.47	0
0572	10	8	 	 	 	 	 	 	 	0	10.59%	 	 	 	4.24	0
8878	 	 	 	 	 	 	 	 	 	0	0.00%	 	 	 	0.00	0
9367	 	 	 	 	 	 	 	 	 	0	0.00%	 	 	 	0.00	0
9456	 	 	 	 	 	 	 	 	 	0	0.00%	 	 	 	0.00	0

mean	17.9	16.2	16.3	17.0	16.8	15.9	17.1	24.9	1.6	0.3	79.08%	76.79	66.70	76.70	75.86	2.5
median	19	17	17	18	18	17	18	27	2	0	85.88%	79	67	77	80.08	2.8
