last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	weekly %	midterm	new mid	final	total	grade
1253	8	7	9	6	 	 	 	 	 	3	17.65%	49	62	52	40.26	0
0353	19	14	 	18	 	 	 	 	 	1	30.00%	55	68	36	40.00	0
2858	17	17	11	20	 	 	 	 	 	4	38.24%	57	70	17	36.09	0
1963	4	17	4	0	6	4	7	0	 	5	24.71%	33	46	39	34.68	0
0346	 	8	4	10	 	 	 	 	 	3	12.94%	31	44	39	29.58	0
0911	13	17	17	15	 	 	 	 	 	2	36.47%	61	74	 	29.39	0
7599	 	 	 	 	 	 	 	 	 	 	0.00%	73	86	 	17.20	0
0847	20	 	 	 	 	 	 	 	 	1	11.76%	 	 	 	4.71	0
1786	 	 	 	 	 	 	 	 	 	 	0.00%	 	 	 	0.00	0

mean	17.3	15.5	15.4	16.9	16.4	15.8	16.6	24.2	1.8	3.4	76.70%	64.7	77.7	72.6	74.4	2.5
median	18	16	17	18	17	16	17	26	2	4	81.76%	63.5	76.5	74	76.71	2.7
