last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	weekly %	midterm	new mid	final	new fin	total	grade
5833	18	12	10	 	20	9	17	26	 	65.88%	70	74	73	77	71.95	2.1
7309	20	15	19	19	19	19	20	26	 	92.35%	54	58	54	58	71.74	2.1
7442	20	18	12	19	19	18	19	29	 	90.59%	67	71	49	53	71.64	2.1
8597	19	17	18	16	19	18	12	 	 	70.00%	68	72	69	73	71.60	2.1
8686	19	4	16	18	13	13	15	 	 	57.65%	87	91	71	75	71.26	2
6841	15	18	17	17	17	13	 	 	 	57.06%	82	86	74	78	71.22	2
9533	18	12	13	15	15	16	16	20	 	73.53%	63	67	67	71	71.21	2
2604	17	13	13	15	19	15	19	21	 	77.65%	64	68	62	66	71.06	2
0678	19	15	16	15	16	15	20	28	 	84.71%	53	57	58	62	70.08	1.9
8315	19	18	19	19	16	19	19	26	 	91.18%	61	65	47	51	69.87	1.9
2114	19	16	10	15	18	16	12	28	 	78.82%	47	51	66	70	69.73	1.9
0922	19	17	12	18	19	19	18	27	 	87.65%	55	59	53	57	69.66	1.9
7447	12	15	17	10	14	9	15	17	 	64.12%	75	79	66	70	69.45	1.8
2742	19	13	17	 	 	18	 	 	 	39.41%	95	99	80	84	69.16	1.8
5879	19	13	18	18	15	15	17	7	 	71.76%	55	59	67	71	68.91	1.8
5125	19	12	6	12	12	13	8	16	 	57.65%	78	82	68	72	68.26	1.7
9571	18	18	17	9	18	13	17	22	 	77.65%	51	55	61	65	68.06	1.7
6526	19	18	18	17	16	17	19	 	 	72.94%	49	53	66	70	67.78	1.7
6966	19	18	8	18	16	14	20	27	 	82.35%	30	34	65	69	67.34	1.6
0423	19	11	17	17	18	15	18	24	 	81.76%	57	61	52	56	67.31	1.6
1881	8	11	18	20	15	11	18	23	 	72.94%	38	42	70	74	67.18	1.6
9805	18	18	16	17	13	15	18	29	 	84.71%	44	48	55	59	67.08	1.6
6180	16	15	17	14	 	13	18	25	 	69.41%	58	62	63	67	66.96	1.6
1861	6	17	18	17	15	20	18	27	 	81.18%	42	46	59	63	66.87	1.6
8181	13	11	16	16	13	12	15	16	 	65.88%	54	58	68	72	66.75	1.6
2271	17	14	14	19	17	12	11	11	 	67.65%	60	64	63	67	66.66	1.6
9553	19	11	16	17	15	17	8	16	 	70.00%	59	63	61	65	66.60	1.6
5000	19	12	12	17	13	13	10	26	 	71.76%	67	71	53	57	65.71	1.5
1723	19	16	14	17	18	16	19	26	 	85.29%	43	47	51	55	65.52	1.5
3035	19	12	13	15	11	6	17	21	 	67.06%	56	60	60	64	64.42	1.3
0650	18	12	12	14	14	14	20	24	 	75.29%	41	45	59	63	64.32	1.3
0159	16	16	16	16	2	6	12	21	 	61.76%	52	56	67	71	64.31	1.3
3149	16	12	17	20	18	14	13	27	 	80.59%	43	47	51	55	63.64	1.3
6770	17	17	12	15	12	17	14	12	 	68.24%	59	63	55	59	63.49	1.2
6505	12	14	17	16	16	10	16	9	 	64.71%	46	50	65	69	63.48	1.2
3564	17	10	12	14	11	7	7	20	 	57.65%	55	59	67	71	63.26	1.2
2105	19	17	4	7	13	6	 	13	 	46.47%	69	73	71	75	63.19	1.2
3786	8	17	12	16	17	 	12	 	 	48.24%	62	66	72	76	62.89	1.2
7556	19	12	4	10	 	11	18	22	 	56.47%	64	68	62	66	62.59	1.2
9439	19	13	14	10	8	5	13	19	 	59.41%	53	57	62	66	61.56	1.1
2251	19	15	19	18	20	18	13	16	 	81.18%	48	52	39	43	60.07	0.9
7245	19	14	16	14	4	0	 	 	 	39.41%	77	81	57	61	56.36	0.8
0653	16	16	16	16	17	5	 	8	 	55.29%	49	53	53	57	55.52	0.7
0754	6	16	11	18	 	4	6	2	 	37.06%	55	59	68	72	55.42	0.7
1894	16	18	18	16	14	13	17	 	 	65.88%	34	38	49	53	55.15	0.7
1885	11	17	17	18	17	11	17	7	 	67.65%	48	52	35	39	53.06	0
5522	19	 	10	3	20	 	 	 	 	30.59%	54	58	68	72	52.64	0
0291	19	17	14	18	14	14	14	29	 	81.76%	20	24	31	35	51.51	0
3134	14	10	0	13	11	13	15	5	 	47.65%	46	50	41	45	47.06	0
4979	13	3	8	16	6	13	5	4	 	40.00%	49	53	41	45	44.60	0
3133	19	19	 	 	 	 	 	 	 	22.35%	48	52	55	59	42.94	0
6512	7	 	3	15	13	10	10	26	 	49.41%	32	36	35	39	42.56	0
6203	 	12	10	5	 	 	 	0	 	15.88%	68	72	49	53	41.95	0
0502	 	 	5	 	 	 	 	 	 	2.94%	68	72	48	52	36.38	0
5295	20	17	17	15	19	18	 	 	 	62.35%	46	50	 	 	34.94	0
3126	16	16	13	 	 	 	 	 	 	26.47%	43	47	29	33	33.19	0
6075	10	15	0	 	 	5	 	 	 	17.65%	52	56	31	35	32.26	0
7385	19	17	10	17	 	 	 	 	 	37.06%	39	43	13	17	30.22	0
1868	20	18	18	11	5	 	 	 	 	42.35%	55	59	 	 	28.74	0
9490	10	14	15	13	17	13	 	 	 	48.24%	39	43	 	 	27.89	0
2508	19	12	14	 	 	 	 	 	 	26.47%	53	57	 	 	21.99	0
1823	16	13	13	8	6	 	 	 	 	32.94%	36	40	 	 	21.18	0
9359	8	 	11	12	 	 	 	 	 	18.24%	55	59	 	 	19.09	0
3042	8	6	 	 	 	 	 	 	 	8.24%	61	65	 	 	16.29	0
1666	17	16	16	16	 	 	 	 	 	38.24%	 	 	 	 	15.29	0
0560	6	7	4	 	 	 	 	 	 	10.00%	31	35	 	 	11.00	0
2693	0	 	 	 	 	 	 	 	 	0.00%	 	 	 	 	0.00	0
1938	 	 	 	 	 	 	 	 	 	0.00%	 	 	 	 	0.00	0
0697	 	 	 	 	 	 	 	 	 	0.00%	 	 	 	 	0.00	0

mean	17.7	15.8	16.0	17.3	17.0	15.6	17.6	25.3	1.7	78.01%	71.9	75.9	71.0	75.0	74.54	2.5
median	19	17	17	18	18	17	18	27	2	85.88%	73	77	71	75	79.15	2.8
