last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	weekly %	midterm	final	total	grade
0121	17	15	16	19	19	12	19	29	0	2	85.88%	69	85	82.15	3
5563	18	19	19	17	20	16	18	29	 	5	91.76%	85	71	82.11	3
6833	19	17	18	18	18	19	19	30	 	1	92.94%	80	72	81.98	3
4863	19	18	20	18	17	20	19	25	0	0	91.76%	59	83	81.71	3
2225	19	15	15	18	19	20	20	20	 	2	85.88%	72	82	81.55	3
3631	20	17	15	19	19	19	18	19	 	1	85.88%	60	88	81.55	3
8869	19	13	13	16	16	14	19	27	 	2	80.59%	92	77	81.44	2.9
3656	19	16	19	19	19	17	19	29	0	0	92.35%	90	66	81.34	2.9
9835	17	19	17	19	19	20	19	23	0	3	90.00%	58	84	81.20	2.9
3538	18	13	19	15	18	14	19	26	 	1	83.53%	86	76	81.01	2.9
7710	19	17	13	15	15	17	18	27	 	3	82.94%	73	83	80.98	2.9
5714	20	13	20	19	20	17	20	28	 	5	92.35%	73	73	80.74	2.9
9357	19	15	19	19	18	16	18	27	 	3	88.82%	77	73	80.13	2.8
0420	18	16	18	14	18	18	19	26	 	4	86.47%	87	70	79.99	2.8
2286	18	20	17	14	17	11	19	28	0	3	84.71%	78	76	79.88	2.8
1051	18	20	19	20	20	19	18	30	2	1	97.65%	74	65	79.86	2.8
9536	16	16	20	17	18	17	18	29	 	1	88.82%	78	71	79.53	2.7
0302	19	18	10	14	19	19	20	29	 	3	87.06%	79	72	79.42	2.7
1108	20	14	15	17	19	18	20	17	0	5	82.35%	82	75	79.34	2.7
0323	19	18	11	18	19	16	19	28	 	5	87.06%	74	74	79.22	2.7
0294	20	12	16	18	16	18	18	24	0	4	83.53%	93	68	79.21	2.7
6481	18	19	18	15	18	17	18	26	 	 	87.65%	60	80	79.06	2.7
6838	20	19	18	20	19	16	18	24	 	5	90.59%	64	75	79.04	2.7
0018	19	13	14	16	17	18	20	28	0	3	85.29%	81	71	78.72	2.7
2676	17	15	16	16	15	18	19	27	 	5	84.12%	73	76	78.65	2.7
6932	19	19	20	19	20	17	19	29	0	3	95.29%	70	66	78.52	2.7
4872	19	12	20	16	17	15	19	29	0	5	86.47%	86	66	78.19	2.6
3640	17	18	12	19	0	15	19	29	 	 	75.88%	87	76	78.15	2.6
8555	19	18	19	18	17	18	19	29	0	5	92.35%	85	60	77.94	2.6
1499	20	19	19	18	16	15	20	30	0	2	92.35%	65	70	77.94	2.6
8530	20	17	16	19	18	14	20	28	 	1	89.41%	72	69	77.76	2.6
8886	16	17	16	18	17	16	20	25	0	1	85.29%	81	68	77.52	2.6
5858	18	16	18	18	19	18	18	14	0	5	81.76%	78	73	77.51	2.6
5449	18	18	18	17	19	18	20	27	0	0	91.18%	73	66	77.47	2.6
8624	20	16	17	19	18	 	 	14	 	2	61.18%	85	89	77.07	2.5
3091	20	17	18	18	17	17	19	28	 	4	90.59%	65	69	76.84	2.5
3534	19	15	8	17	11	10	16	23	0	3	70.00%	100	72	76.80	2.5
1756	16	13	18	17	18	19	17	23	 	5	82.94%	62	78	76.78	2.5
3260	19	17	17	18	19	19	15	0	 	4	72.94%	73	82	76.58	2.5
7470	19	16	13	16	17	16	17	26	 	4	82.35%	72	73	76.54	2.5
0273	17	14	17	16	19	16	17	17	 	5	78.24%	74	76	76.49	2.5
2340	19	13	14	18	19	16	20	28	0	4	86.47%	81	64	76.39	2.5
1035	18	18	16	18	19	18	19	15	0	2	82.94%	79	68	76.18	2.4
2747	20	16	18	17	18	18	16	17	 	4	82.35%	70	73	76.14	2.4
4663	20	19	17	19	12	18	16	24	 	5	85.29%	84	63	76.12	2.4
6482	18	14	17	15	16	18	9	10	0	5	68.82%	81	79	75.33	2.3
0305	19	18	20	19	20	17	20	26	0	1	93.53%	77	56	75.21	2.3
0448	19	17	17	16	18	16	19	27	0	2	87.65%	67	66	74.86	2.3
6617	20	17	17	14	16	6	18	26	 	4	78.82%	76	69	74.33	2.2
3050	18	16	14	17	19	17	19	28	0	4	87.06%	74	61	74.02	2.2
0111	20	15	13	16	12	15	19	28	 	4	81.18%	65	71	73.87	2.2
8795	19	12	18	18	18	18	18	27	0	0	87.06%	69	63	73.82	2.2
5564	17	19	9	15	14	13	16	27	0	4	76.47%	78	69	73.79	2.2
1261	13	14	18	19	14	8	19	28	 	5	78.24%	61	75	73.49	2.2
8151	19	17	18	19	18	20	20	30	0	5	94.71%	78	49	73.08	2.1
4532	20	20	20	19	16	15	14	5	 	5	75.88%	65	74	72.95	2.1
6314	20	20	18	16	18	20	20	11	 	5	84.12%	85	54	72.25	2
8547	9	17	15	15	17	17	19	26	 	4	79.41%	54	74	72.16	2
2775	16	17	17	18	15	17	5	19	 	5	72.94%	73	70	71.78	2
0126	19	19	15	14	15	14	13	0	0	5	64.12%	77	76	71.45	2
1431	16	18	11	13	17	17	18	27	 	 	80.59%	66	64	71.04	1.9
7441	18	10	9	15	16	18	18	21	 	5	73.53%	78	65	71.01	1.9
8411	20	17	18	17	16	17	20	19	 	5	84.71%	52	66	70.68	1.9
6843	18	14	13	16	18	15	20	26	0	2	82.35%	33	77	70.34	1.9
0539	16	16	6	11	13	0	13	18	 	3	54.71%	75	83	70.08	1.8
3498	17	17	20	18	15	19	15	26	 	5	86.47%	63	56	69.59	1.8
8329	18	13	16	16	14	16	 	 	 	5	54.71%	86	75	69.08	1.7
5122	12	13	16	15	16	16	20	15	 	2	72.35%	76	62	68.94	1.7
3548	15	17	18	16	20	12	18	23	 	5	81.76%	70	54	68.31	1.7
2606	17	17	15	18	16	12	5	14	0	5	67.06%	57	75	68.22	1.6
0274	18	13	13	13	0	15	17	13	 	5	60.00%	64	77	67.60	1.6
2684	19	16	18	18	17	18	19	0	 	4	73.53%	64	63	67.41	1.6
2754	18	11	19	18	16	17	15	27	0	4	82.94%	56	57	67.18	1.5
0641	20	19	19	18	18	16	18	0	 	4	75.29%	87	49	67.12	1.5
6943	18	13	18	19	15	18	20	17	0	5	81.18%	73	50	67.07	1.5
9014	19	19	19	20	18	20	18	30	 	5	95.88%	59	41	66.55	1.5
5137	16	17	7	18	20	17	19	29	 	4	84.12%	50	56	66.05	1.4
1225	20	17	14	14	17	17	19	0	 	5	69.41%	69	61	65.96	1.4
1190	18	15	8	15	16	14	10	22	0	1	69.41%	61	65	65.96	1.4
2469	12	14	10	17	11	13	13	11	 	5	59.41%	77	67	65.96	1.4
1634	16	10	14	16	17	20	18	23	 	5	78.82%	59	56	65.73	1.4
9289	18	18	19	15	18	14	19	22	 	5	84.12%	49	55	65.45	1.4
1562	16	17	16	19	20	20	18	28	 	 	90.59%	61	42	65.24	1.4
2185	17	14	17	14	15	15	20	21	 	5	78.24%	31	68	64.69	1.3
0159	9	10	13	5	14	14	18	27	 	1	64.71%	74	60	64.68	1.3
5074	20	20	18	20	18	18	20	5	0	5	81.76%	78	40	64.31	1.3
8765	20	15	16	16	10	8	14	0	 	4	58.24%	74	63	63.29	1.2
0592	19	18	14	16	16	13	15	22	 	3	78.24%	49	54	62.69	1.1
2818	16	15	17	18	15	14	16	14	 	5	73.53%	52	57	62.61	1.1
3812	16	6	17	16	0	16	15	11	0	5	57.06%	72	61	61.62	1
0990	19	18	17	19	20	 	 	 	 	5	54.71%	55	69	60.48	0.9
9439	19	14	14	14	14	14	13	10	 	5	65.88%	50	60	60.35	0.9
7237	14	12	18	4	16	18	20	28	 	4	76.47%	56	41	58.19	0.8
0910	20	19	18	19	18	0	 	0	 	5	55.29%	93	42	57.52	0.7
6988	19	20	16	15	18	15	12	29	 	1	84.71%	39	39	57.28	0.7
