
last 4 digits of sid	assign1	assign2	assign3	assign4	bonus4	assign5	assign6	assign7	assign8	bonus8	Late_Days	explore	weekly %	midterm	final	total	grade
3580	17	18	19	15	 	16	15	17	29	2	4	0	87.1%	83	80	83.42	3.2
0051	19	15	18	19	 	20	20	15	30	 	2	0	91.8%	85	74	83.31	3.2
2487	15	17	18	18	 	20	15	19	28	 	4	0	88.2%	92	74	83.29	3.2
0468	19	18	19	17	 	18	20	16	26	 	5	0	90.0%	100	68	83.20	3.2
5485	16	14	17	14	 	16	14	17	26	 	0	0	78.8%	96	81	83.13	3.2
3850	16	20	19	19	1	19	17	19	29	2	0	0	94.7%	84	71	83.08	3.2
0533	17	18	18	6	 	18	16	19	24	 	5	0	80.0%	93	81	83.00	3.2
0037	18	18	19	19	 	18	14	17	28	 	0	0	88.8%	81	78	82.93	3.2
2292	18	18	18	15	 	17	16	18	30	 	5	0	88.2%	80	79	82.89	3.2
1680	20	17	18	17	 	17	20	17	29	 	5	0	91.2%	88	72	82.87	3.2
9554	17	17	18	20	1	14	18	16	28	 	1	0	87.6%	83	78	82.86	3.2
2553	19	17	18	19	 	19	20	19	27	 	1	0	92.9%	84	72	82.78	3.2
5984	18	18	19	17	 	20	19	19	25	 	2	0	91.2%	87	72	82.67	3.2
6327	18	17	17	17	 	15	18	14	16	 	2	0	77.6%	86	86	82.66	3.2
6046	18	18	16	16	 	19	14	20	27	 	3	0	87.1%	87	76	82.62	3.2
4668	16	17	16	16	 	19	18	18	27	 	5	0	86.5%	92	74	82.59	3.2
0267	19	18	17	17	0	15	15	13	16	 	1	0	76.5%	88	86	82.59	3.2
5174	20	17	18	18	 	20	16	17	26	 	3	0	89.4%	74	80	82.56	3.2
0259	18	16	18	18	 	19	18	20	28	2	2	0	92.4%	80	74	82.54	3.2
9905	19	20	18	17	1	20	17	18	28	2	0	0	94.1%	81	71	82.25	3.1
0897	17	17	18	18	 	20	15	17	29	 	3	0	88.8%	75	79	82.13	3.1
8963	18	16	15	11	 	14	19	19	26	 	2	0	81.2%	74	87	82.07	3.1
2275	13	18	17	17	 	16	15	19	29	 	4	2	85.1%	96	72	82.04	3.1
0317	17	15	17	17	1	18	16	18	28	 	0	0	86.5%	79	79	81.99	3.1
5354	18	13	18	18	0	19	19	19	27	 	2	0	88.8%	76	78	81.93	3.1
5443	18	15	15	14	1	18	17	17	24	 	5	5	82.7%	90	77	81.90	3.1
9878	17	16	15	16	0	16	15	16	30	2	1	0	84.1%	93	74	81.85	3.1
6021	16	19	17	15	 	19	16	20	30	 	0	0	89.4%	84	73	81.76	3.1
2245	20	18	16	20	 	19	19	19	30	 	0	0	94.7%	79	70	81.68	3.1
7738	19	18	20	17	 	18	19	20	28	 	5	3	94.1%	90	65	81.65	3.1
0132	17	15	17	16	 	15	16	16	26	 	5	0	81.2%	88	78	81.27	3.1
8934	19	17	18	18	 	19	16	15	28	 	2	0	88.2%	79	75	81.09	3.0
3062	17	17	18	16	 	17	18	11	13	 	4	0	74.7%	90	83	81.08	3.0
3854	19	17	18	19	0	18	17	19	27	 	5	0	90.6%	72	76	81.04	3.0
9824	19	15	16	19	1	18	19	19	26	 	0	0	89.4%	92	67	80.96	3.0
3727	20	16	17	19	 	19	20	19	26	 	3	0	91.8%	77	72	80.91	3.0
2296	16	18	19	17	1	14	17	17	28	 	4	0	86.5%	81	75	80.79	3.0
2162	16	14	19	17	0	18	18	17	22	 	3	0	82.9%	92	73	80.78	3.0
8283	18	16	17	18	 	18	16	17	29	 	1	0	87.6%	98	65	80.66	3.0
4601	18	17	17	16	 	14	8	16	25	 	5	0	77.1%	87	81	80.62	3.0
5247	19	18	18	19	 	20	17	19	29	 	5	0	93.5%	90	63	80.61	3.0
1970	17	17	17	15	 	18	17	19	24	 	5	0	84.7%	77	78	80.48	3.0
5667	19	16	16	20	 	14	17	18	24	 	3	2	85.1%	82	75	80.44	3.0
8259	15	15	14	13	1	19	8	16	27	 	3	0	75.3%	95	78	80.32	3.0
8603	18	19	19	16	 	19	14	19	26	 	1	0	88.2%	81	72	80.29	3.0
0119	20	15	18	16	 	17	19	15	25	 	1	0	85.3%	88	71	80.12	3.0
0552	17	17	17	17	 	18	15	18	24	 	3	0	84.1%	84	74	80.05	3.0
4530	17	19	18	15	 	14	16	18	26	 	5	0	84.1%	80	76	80.05	3.0
1059	20	17	16	17	 	18	20	19	27	 	3	0	90.6%	83	68	80.04	3.0
4768	17	18	16	16	 	17	17	20	25	 	3	0	85.9%	84	72	79.95	3.0
5158	18	15	16	12	 	16	14	16	21	 	3	0	75.3%	89	80	79.92	3.0
2693	16	17	18	16	 	19	18	14	26	 	5	0	84.7%	84	73	79.88	2.9
1130	17	15	14	19	 	16	19	18	25	 	3	0	84.1%	95	68	79.85	2.9
5431	16	18	19	19	 	19	18	18	30	2	5	0	93.5%	76	68	79.81	2.9
9013	20	18	17	18	 	20	16	18	19	 	2	0	85.9%	92	67	79.55	2.9
6197	17	18	17	19	 	20	18	15	28	 	5	0	89.4%	56	81	79.36	2.9
0690	16	18	18	19	1	17	15	18	26	 	3	4	87.8%	87	67	79.34	2.9
7414	18	17	15	12	 	18	18	15	29	 	4	0	83.5%	83	73	79.21	2.9
0205	19	18	19	18	 	18	17	17	27	 	0	0	90.0%	82	67	79.20	2.9
0429	16	15	18	14	 	14	11	12	21	 	5	0	71.2%	93	80	79.07	2.9
1053	18	17	17	16	 	16	19	19	21	 	1	0	84.1%	95	66	79.05	2.9
