last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	weekly %	midterm	new mid	final	total	grade
1499	 	9	7	4	 	5	 	 	 	14.71%	47	61	38	33.28	0
5942	15	17	 	 	 	 	 	 	 	18.82%	41	55	30	30.53	0
9569	6	7	8	13	2	 	 	 	 	21.18%	46	60	25	30.47	0
0945	6	 	11	 	 	 	 	 	 	10.00%	41	55	36	29.40	0
6375	7	0	 	 	0	 	 	 	 	4.12%	44	58	37	28.05	0
4565	16	 	9	 	 	 	 	 	 	14.71%	60	74	 	20.68	0
1452	 	 	 	 	 	 	 	 	 	0.00%	 	 	 	0.00	0
4950	 	 	 	 	 	 	 	 	 	0.00%	 	 	 	0.00	0

mean	17.3	15.7	16.0	16.9	16.4	15.4	16.7	25.0	2.0	77.87%	63.0	77.0	73.0	75.12	2.5
median	18	16	17	18	18	16	18	27	2	85.29%	64	78	76	79.79	2.9
