last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	weekly %	midterm	new mid	final	total	grade
3042	17	18	8	15	16	12	1	17	 	5	61.18%	70	74	58	62.47	1.1
5507	18	14	14	16	16	17	12	7	 	4	67.06%	57	61	58	62.22	1.1
6229	17	18	15	19	11	3	15	8	 	5	62.35%	67	71	57	61.94	1.1
1895	20	12	18	15	15	14	17	9	 	5	70.59%	61	65	51	61.64	1.1
6944	9	12	13	13	0	17	9	6	 	5	46.47%	70	74	70	61.39	1
0348	18	11	11	13	13	8	17	11	 	0	60.00%	72	76	55	61.20	1
1963	9	15	9	15	8	3	14	7	 	5	47.06%	56	60	75	60.82	1
9809	19	17	7	11	14	16	19	26	 	3	75.88%	47	51	50	60.55	0.9
5549	10	13	9	17	14	3	11	5	 	4	48.24%	73	77	63	59.89	0.9
0738	17	13	11	17	17	 	18	19	 	4	65.88%	45	49	59	59.75	0.9
5690	15	12	17	17	17	18	19	 	 	5	67.65%	65	69	47	59.66	0.9
1364	6	12	15	16	14	11	11	16	 	5	59.41%	60	64	57	59.36	0.8
0434	18	17	10	14	5	0	14	22	 	3	58.82%	43	47	64	58.53	0.7
9010	12	12	4	15	9	1	10	7	 	5	41.18%	74	78	66	58.47	0.7
6841	13	10	12	6	5	11	19	25	 	3	59.41%	56	60	56	58.16	0.7
0375	18	14	9	12	14	15	17	18	 	5	68.82%	67	71	41	58.13	0.7
2606	17	14	15	15	15	 	 	 	 	 	44.71%	76	80	59	57.48	0.7
6582	8	12	19	18	18	16	19	18	 	5	75.29%	46	50	42	56.92	0.7
0417	20	12	15	16	18	16	15	18	 	5	76.47%	37	41	42	55.59	0.7
5215	 	17	18	19	18	 	 	 	 	2	42.35%	83	87	49	53.94	0.7
1771	19	11	16	13	18	0	16	24	 	5	68.82%	58	62	35	53.93	0.7
4223	13	10	 	 	 	4	12	5	 	5	25.88%	60	64	75	53.15	0
1741	9	11	 	15	 	17	5	23	 	4	47.06%	54	58	55	52.42	0
9357	16	14	7	11	 	1	1	 	 	5	29.41%	64	68	67	52.16	0
6756	 	15	15	14	8	10	9	6	 	5	45.29%	60	64	50	50.92	0
1274	 	11	6	16	 	 	 	 	 	5	19.41%	73	77	69	50.76	0
8761	12	15	8	4	9	4	 	10	 	5	36.47%	74	78	48	49.39	0
7519	18	 	 	 	18	16	 	 	 	 	30.59%	77	81	50	48.44	0
5061	 	 	 	3	 	6	17	 	 	5	15.29%	53	57	68	44.72	0
8734	16	13	8	14	9	8	 	0	 	3	40.00%	51	55	44	44.60	0
4970	11	14	0	0	14	0	 	 	 	5	22.94%	41	45	65	44.18	0
9389	 	9	16	15	6	 	 	 	 	5	27.06%	62	66	42	40.82	0
8248	 	13	 	17	 	3	 	 	 	5	19.41%	70	74	42	39.36	0
0445	19	18	13	16	15	15	18	 	 	1	67.06%	58	62	 	39.22	0
9093	7	8	6	1	10	10	 	 	 	2	24.71%	59	63	38	37.68	0
5628	10	11	7	16	17	15	15	8	 	5	58.24%	63	67	 	36.69	0
4494	17	13	13	15	18	6	9	 	 	5	53.53%	71	75	 	36.41	0
5150	12	17	15	17	14	14	18	 	 	5	62.94%	48	52	 	35.58	0
3600	19	12	 	15	 	 	 	 	 	4	27.06%	60	64	28	34.82	0
1512	20	16	10	13	0	15	 	 	 	5	43.53%	72	76	 	32.61	0
3948	20	15	 	13	 	 	 	 	 	1	28.24%	76	80	 	27.29	0
3212	7	12	4	12	 	 	 	 	 	3	20.59%	59	63	12	25.64	0
4040	6	9	14	 	0	 	 	 	 	5	17.06%	28	32	21	21.62	0
0201	13	5	 	 	 	 	 	 	 	5	10.59%	73	77	 	19.64	0
0353	 	 	 	 	 	 	 	 	 	 	0.00%	59	63	 	12.60	0
2114	 	 	 	 	 	 	 	 	 	 	0.00%	34	38	 	7.60	0
5636	 	 	 	 	 	 	 	 	 	 	0.00%	 	 	 	0.00	0
6332	 	 	 	 	 	 	 	 	 	 	0.00%	 	 	 	0.00	0

mean	17.8	15.9	15.9	16.9	16.5	15.4	17.2	24.7	1.8	3.3	78.01%	74.3	78.3	74.8	75.5	2.5
median	19	16.5	17	18	17	16	18	27	2	3.5	84.41%	76	80	76	79.01	2.8
