
last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	explore	weekly %	midterm	final	total	grade
5768	18	11	15	19	19	13	18	21	 	4	0	78.8%	89	81	81.73	3
9181	18	15	17	16	20	17	15	25	 	 	0	84.1%	88	76	81.65	3
3135	18	20	11	18	15	18	17	26	 	2	0	84.1%	86	77	81.65	3
7861	17	16	18	16	18	14	17	28	 	2	0	84.7%	76	81	81.48	3
2542	17	19	19	18	18	14	19	29	 	3	0	90.0%	81	73	81.40	3
0372	18	19	18	18	20	17	17	28	 	1	0	91.2%	84	70	81.27	3
1968	19	13	18	19	17	12	16	28	 	5	0	83.5%	87	76	81.21	3
0659	16	15	16	17	15	15	16	26	 	1	0	80.0%	80	83	81.20	3
8792	12	12	17	16	16	18	18	29	0	3	1	81.4%	87	78	81.15	3
0821	13	11	15	19	19	18	19	27	 	3	0	82.9%	72	83	80.78	2.9
0849	16	18	16	19	16	16	17	26	 	 	1	84.9%	78	78	80.76	2.9
0898	15	15	15	18	15	19	17	24	 	5	0	81.2%	79	81	80.67	2.9
3985	17	18	17	16	15	14	 	28	 	0	0	73.5%	90	83	80.61	2.9
0869	17	20	18	17	15	15	16	27	 	3	0	85.3%	70	81	80.52	2.9
2458	18	18	19	18	17	17	16	27	 	5	0	88.2%	90	68	80.49	2.9
2613	19	14	17	16	19	17	18	29	 	5	0	87.6%	69	79	80.46	2.9
5897	15	20	17	19	19	20	19	26	 	5	0	91.2%	69	75	80.27	2.9
1057	13	11	18	17	19	15	18	27	 	4	0	81.2%	70	84	80.07	2.9
0793	17	15	17	16	11	16	14	26	 	 	0	77.6%	85	80	80.06	2.9
7376	15	15	18	18	18	17	19	27	2	2	0	87.6%	73	76	80.06	2.9
1874	15	18	20	18	20	18	17	28	 	2	0	90.6%	75	72	80.04	2.9
0985	20	18	15	17	20	18	15	28	 	5	0	88.8%	70	76	79.93	2.8
6440	16	17	14	18	16	18	15	24	 	5	0	81.2%	77	80	79.87	2.8
3185	16	17	15	19	15	15	19	26	 	1	0	83.5%	84	74	79.81	2.8
0955	17	17	18	18	16	15	19	27	 	4	0	86.5%	68	79	79.79	2.8
6694	17	14	18	15	16	16	17	28	 	5	0	82.9%	81	76	79.78	2.8
3225	18	17	17	16	19	16	19	29	 	5	0	88.8%	61	80	79.73	2.8
6053	15	19	15	19	18	19	18	30	 	1	0	90.0%	72	73	79.60	2.8
9458	19	17	14	19	17	17	16	21	 	 	0	82.4%	85	74	79.54	2.8
9702	20	20	17	17	19	20	20	28	 	5	0	94.7%	78	65	79.48	2.8
2198	17	19	17	16	18	16	18	28	 	5	0	87.6%	74	74	79.46	2.8
8400	17	17	19	13	18	14	16	29	 	 	0	84.1%	81	74	79.45	2.8
2496	18	16	16	19	18	16	17	28	 	5	0	87.1%	75	74	79.42	2.8
1081	12	17	18	15	17	18	13	24	 	5	0	78.8%	91	74	79.33	2.8
1726	17	14	17	17	15	11	19	26	 	3	0	80.0%	84	76	79.20	2.8
2962	17	18	16	19	18	14	17	28	 	5	0	86.5%	69	77	79.19	2.8
5386	17	18	17	18	19	18	16	24	 	 	0	86.5%	77	73	79.19	2.8
2271	20	14	18	19	19	18	19	25	 	 	0	89.4%	69	74	79.16	2.8
7002	18	13	14	15	17	15	17	29	 	2	0	81.2%	77	78	79.07	2.8
4659	17	16	17	19	19	16	18	28	 	5	5	89.2%	66	75	78.89	2.7
2115	17	13	15	17	19	18	13	25	 	2	0	80.6%	89	72	78.84	2.7
6349	20	18	17	14	17	15	19	27	 	2	0	86.5%	75	73	78.79	2.7
0810	15	15	17	14	18	18	15	27	 	1	0	81.8%	74	78	78.71	2.7
7205	15	12	17	18	18	15	18	17	 	5	0	76.5%	76	82	78.59	2.7
9978	15	19	15	17	14	16	18	27	 	3	0	82.9%	79	74	78.58	2.7
0956	18	18	17	18	20	19	19	27	 	5	0	91.8%	75	67	78.51	2.7
5389	19	18	17	17	18	17	18	29	 	 	0	90.0%	56	78	78.40	2.7
0664	18	18	15	14	12	17	15	26	 	5	0	79.4%	79	77	78.36	2.7
8604	13	15	17	19	19	13	15	27	 	 	0	81.2%	81	74	78.27	2.7
0142	17	16	19	18	19	16	20	27	 	3	1	89.6%	74	69	78.24	2.7
2015	15	17	19	19	19	16	17	23	 	2	0	85.3%	70	75	78.12	2.7
0722	16	17	18	19	18	16	19	24	 	1	0	86.5%	81	68	77.99	2.6
4415	18	19	15	18	19	15	16	25	 	2	0	85.3%	70	74	77.72	2.6
1583	17	19	17	18	19	18	18	27	 	5	1	90.2%	49	79	77.48	2.6
9948	16	18	18	18	20	18	20	27	 	3	0	91.2%	77	64	77.47	2.6
2770	12	18	17	20	16	17	17	23	 	5	0	82.4%	90	66	77.34	2.6
0634	17	16	19	18	19	15	18	27	 	3	0	87.6%	81	65	77.26	2.6
1951	16	17	18	20	16	18	17	8	 	4	0	76.5%	83	75	77.19	2.6
1770	15	14	18	16	18	18	17	30	 	3	0	85.9%	74	70	77.15	2.6
2106	19	17	16	17	19	14	18	26	 	5	0	85.9%	71	71	76.95	2.5
4175	13	14	13	15	18	15	18	28	 	 	0	78.8%	69	79	76.93	2.5
1772	17	17	16	17	19	19	14	24	 	 	0	84.1%	78	69	76.85	2.5
