last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	Late_Days	section	weekly %	midterm	final	new fin	total	grade
3441	9	16	19	20	15	17	20	19	 	20	93.37%	89	72	78	86.35	3.1
9475	9	16	18	19	16	20	19	17	2	20	92.77%	92	71	77	86.31	3.1
0131	9	15	20	19	16	15	17	18	1	20	89.76%	90	75	81	86.30	3.1
8193	9	16	17	18	17	17	15	15	2	20	86.75%	92	77	83	86.30	3.1
3945	10	16	19	18	19	16	19	16	3	20	92.17%	81	77	83	86.27	3.1
8878	8	15	19	19	14	20	18	18	5	20	90.96%	77	80	86	86.19	3.1
7627	8	16	19	16	14	18	16	18	 	20	87.35%	82	81	87	86.14	3.1
1700	10	16	20	20	16	17	19	15	2	20	92.17%	80	77	83	86.07	3.1
0209	9	15	20	18	16	15	16	19	4	20	89.16%	88	76	82	86.06	3.1
2090	10	15	20	19	17	17	19	19	5	20	93.98%	76	77	83	85.99	3.1
1354	9	14	20	17	20	17	20	19	5	20	93.98%	72	79	85	85.99	3.1
5924	9	 	18	19	18	14	17	17	3	18	78.31%	95	83	89	85.93	3.1
5717	10	16	17	18	18	19	19	20	2	20	94.58%	84	72	78	85.83	3.1
2861	10	16	20	18	19	17	17	15	4	20	91.57%	74	80	86	85.83	3.1
1688	9	16	14	19	19	15	18	20	4	20	90.36%	92	72	78	85.74	3.1
4217	6	14	19	17	18	13	18	20	5	20	87.35%	84	79	85	85.74	3.1
7472	9	16	20	20	19	17	17	16	 	20	92.77%	83	74	80	85.71	3.1
5444	10	15	18	20	16	17	20	17	1	20	92.17%	88	72	78	85.67	3.1
1588	9	15	0	18	18	16	17	18	1	20	78.92%	84	87	93	85.57	3.1
1152	8	16	20	13	17	14	19	18	2	20	87.35%	89	76	82	85.54	3.1
2081	9	14	19	19	0	18	19	17	1	20	81.33%	89	82	88	85.53	3.1
4351	8	15	20	20	19	20	19	18	1	20	95.78%	78	73	79	85.51	3.1
