last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	weekly %	midterm	new mid	final	total	grade
0372	20	18	19	19	19	20	19	29	 	5	95.88%	78	83	72	83.75	3.1
0342	19	18	19	15	14	15	20	27	 	2	86.47%	66	71	87	83.59	3.1
4256	18	16	18	16	18	19	17	30	 	2	89.41%	80	85	77	83.56	3.1
8833	16	20	16	18	19	15	13	28	 	5	85.29%	96	101	73	83.52	3.1
1320	19	19	19	17	16	13	15	26	 	5	84.71%	79	84	82	83.48	3.1
1309	17	19	19	17	19	20	20	28	 	2	93.53%	79	84	73	83.41	3.1
0848	19	20	19	17	18	16	20	24	 	5	90.00%	76	81	78	83.40	3.1
0158	18	14	18	16	17	11	19	28	 	 	82.94%	89	94	78	83.18	3.1
6088	17	16	17	19	19	19	18	27	2	 	90.59%	59	64	85	83.04	3.1
0197	20	20	18	19	18	18	16	24	 	5	90.00%	76	81	77	83.00	3.1
2581	18	18	17	19	15	17	15	28	 	4	86.47%	71	76	83	82.99	3.1
9212	17	16	14	16	19	16	16	25	 	 	81.76%	68	73	89	82.91	3.1
7989	17	19	15	19	19	19	18	15	 	4	82.94%	81	86	81	82.78	3
0746	18	18	16	19	18	19	17	25	 	 	88.24%	83	88	74	82.49	3
8136	18	15	19	19	19	16	17	30	 	5	90.00%	79	84	74	82.40	3
4673	15	18	16	16	19	18	16	28	 	4	85.88%	77	82	79	82.35	3
7246	18	13	18	15	19	17	16	23	 	5	81.76%	85	90	79	82.31	3
7715	6	14	17	18	18	14	19	27	 	5	78.24%	86	91	82	82.29	3
2180	17	18	16	19	19	17	15	29	 	2	88.24%	63	68	83	82.09	3
0776	19	18	18	14	17	19	19	29	 	1	90.00%	55	60	85	82.00	3
7329	16	11	17	17	16	15	18	25	 	5	79.41%	70	75	88	81.96	3
4067	16	18	18	17	16	13	19	29	 	2	85.88%	73	78	80	81.95	3
8865	17	15	20	17	19	16	20	26	 	1	88.24%	76	81	76	81.89	3
5548	18	15	18	17	17	16	18	25	 	3	84.71%	55	60	90	81.88	3
4367	18	16	15	17	16	18	18	26	 	1	84.71%	65	70	85	81.88	3
2425	20	12	18	17	0	16	17	27	2	5	75.88%	88	93	82	81.75	2.9
3890	19	18	20	16	18	15	19	29	 	4	90.59%	81	86	70	81.44	2.9
0262	19	12	14	18	19	18	18	29	 	5	86.47%	71	76	79	81.39	2.9
2198	19	16	17	17	17	18	2	26	 	5	77.65%	80	85	83	81.26	2.9
9888	18	14	18	19	15	16	14	30	 	5	84.71%	73	78	79	81.08	2.9
3093	17	12	16	18	19	20	15	27	 	4	84.71%	71	76	80	81.08	2.9
0795	19	19	18	19	19	20	20	30	 	2	96.47%	61	66	73	80.99	2.9
8193	17	14	12	19	14	14	19	26	 	2	79.41%	87	92	77	80.96	2.9
8609	18	13	9	17	18	17	18	29	 	4	81.76%	62	67	87	80.91	2.9
9717	18	15	16	19	17	15	19	29	2	 	88.24%	77	82	73	80.89	2.9
0021	17	18	17	18	19	12	18	28	 	4	86.47%	70	75	78	80.79	2.8
6164	19	17	17	19	19	15	20	29	 	5	91.18%	61	66	77	80.47	2.8
2430	18	16	17	15	17	11	17	27	 	1	81.18%	83	88	76	80.47	2.8
6113	20	17	18	17	18	18	17	16	 	3	82.94%	71	76	80	80.38	2.8
1301	18	13	17	20	20	18	14	26	 	 	85.88%	79	84	73	80.35	2.8
9926	20	19	18	16	17	12	12	25	 	5	81.76%	77	82	78	80.31	2.8
5341	16	15	18	14	19	15	17	23	 	3	80.59%	77	82	79	80.24	2.8
9546	16	15	17	17	18	15	14	26	 	1	81.18%	67	72	83	80.07	2.8
3441	19	15	18	20	18	16	20	29	 	1	91.18%	73	78	70	80.07	2.8
0526	17	15	18	15	19	18	20	29	 	4	88.82%	81	86	68	79.93	2.8
0100	14	14	16	15	18	18	18	25	 	1	81.18%	68	73	82	79.87	2.8
0610	19	16	19	18	20	16	17	29	 	4	90.59%	75	80	69	79.84	2.8
6009	20	17	14	18	18	19	15	25	 	5	85.88%	74	79	74	79.75	2.7
5949	18	18	18	18	17	16	16	29	 	4	88.24%	69	74	74	79.69	2.7
4710	18	18	17	17	17	17	15	27	 	5	85.88%	73	78	74	79.55	2.7
9475	18	17	16	17	18	15	19	25	 	5	85.29%	76	81	73	79.52	2.7
1069	18	14	18	15	17	14	19	29	 	1	84.71%	77	82	73	79.48	2.7
0597	19	15	9	16	17	17	17	26	 	5	80.00%	68	73	82	79.40	2.7
0232	17	12	15	15	20	18	19	24	 	2	82.35%	79	84	74	79.34	2.7
2034	19	14	16	17	18	19	19	29	 	 	88.82%	64	69	75	79.33	2.7
0473	19	16	16	17	18	13	14	25	 	3	81.18%	77	82	76	79.27	2.7
3062	15	17	15	17	14	12	16	23	 	5	75.88%	67	72	86	79.15	2.7
4497	15	16	11	17	18	8	3	28	 	5	68.24%	82	87	86	79.09	2.7
7170	18	19	17	18	19	19	17	29	 	2	91.76%	64	69	71	78.91	2.7
1599	15	16	15	17	16	17	16	26	 	3	81.18%	83	88	72	78.87	2.7
0445	14	17	16	14	6	13	17	12	 	5	64.12%	81	86	90	78.85	2.7
0747	20	15	16	19	18	18	10	13	 	5	75.88%	78	83	79	78.55	2.6
1079	18	16	17	17	18	16	18	29	 	 	87.65%	78	83	67	78.46	2.6
0487	17	17	19	18	17	16	17	27	 	4	87.06%	77	82	68	78.42	2.6
5717	19	16	20	19	19	17	19	30	 	4	93.53%	59	64	70	78.21	2.6
9028	18	15	18	16	17	11	13	24	 	5	77.65%	66	71	82	78.06	2.6
7967	20	18	13	17	11	17	18	6	 	5	70.59%	81	86	81	77.84	2.6
3268	15	17	15	18	18	15	17	26	 	5	82.94%	68	73	75	77.78	2.5
8290	16	19	19	18	19	18	15	27	 	1	88.82%	72	77	67	77.73	2.5
0029	19	14	17	17	16	19	15	28	 	5	85.29%	68	73	72	77.52	2.5
0938	15	17	12	16	18	13	18	28	 	4	80.59%	53	58	84	77.44	2.5
6293	17	13	18	20	14	13	15	30	 	5	82.35%	62	67	77	77.14	2.5
1916	19	16	15	16	17	13	17	25	 	5	81.18%	58	63	80	77.07	2.5
5444	20	17	18	15	15	14	12	27	 	5	81.18%	84	89	67	77.07	2.5
4006	19	16	17	19	17	20	16	19	 	5	84.12%	78	83	67	77.05	2.5
1939	19	17	18	18	19	14	19	29	 	2	90.00%	61	66	69	76.80	2.4
0217	18	14	18	17	16	19	17	27	 	5	85.88%	75	80	66	76.75	2.4
6566	17	16	17	16	17	16	18	27	 	2	84.71%	45	50	82	76.68	2.4
1984	19	13	18	18	19	17	18	26	 	 	87.06%	60	65	72	76.62	2.4
7452	17	12	9	13	15	16	16	24	 	4	71.76%	74	79	80	76.51	2.4
0677	18	16	17	18	18	19	16	27	 	5	87.65%	57	62	72	76.26	2.4
5812	19	17	14	19	18	16	17	14	 	5	78.82%	60	65	79	76.13	2.4
3060	20	13	16	15	18	14	18	27	 	3	82.94%	91	96	59	75.98	2.4
2729	17	17	16	18	17	15	17	28	 	5	85.29%	68	73	68	75.92	2.4
1411	19	15	16	16	16	10	14	26	 	5	77.65%	58	63	80	75.66	2.3
8116	20	15	17	18	17	13	19	27	 	 	85.88%	65	70	68	75.55	2.3
5893	18	16	17	18	16	16	16	25	 	4	83.53%	69	74	68	75.41	2.3
9644	15	14	17	19	13	15	13	11	 	5	68.82%	72	77	81	75.33	2.3
0186	19	18	18	16	12	15	14	15	 	5	74.71%	68	73	77	75.28	2.3
3657	18	13	16	17	12	14	18	24	 	4	77.65%	80	85	68	75.26	2.3
8824	17	17	15	17	15	16	19	17	 	5	78.24%	84	89	65	75.09	2.3
7847	20	20	18	18	19	17	18	30	 	5	94.12%	58	63	62	75.05	2.3
8260	18	18	18	16	12	10	13	25	 	5	76.47%	79	84	69	74.99	2.3
5259	18	14	17	17	15	17	15	22	 	 	79.41%	75	80	68	74.96	2.3
5755	19	20	19	18	20	18	19	27	 	1	94.12%	57	62	62	74.85	2.3
2113	15	15	17	16	14	14	12	24	 	5	74.71%	72	77	73	74.48	2.2
4411	20	17	18	16	20	17	19	26	 	5	90.00%	61	66	63	74.40	2.2
6049	19	16	15	19	17	16	19	24	 	3	85.29%	78	83	59	74.32	2.2
5636	20	20	16	20	18	16	17	29	 	4	91.76%	39	44	72	74.31	2.2
8131	16	13	15	16	9	5	17	24	 	5	67.65%	85	90	73	74.26	2.2
6170	19	10	13	16	16	17	9	26	 	5	74.12%	76	81	71	74.25	2.2
7312	19	19	17	17	19	14	18	16	 	5	81.76%	70	75	66	74.11	2.2
4236	17	16	17	17	15	17	17	28	 	5	84.71%	69	74	63	73.88	2.2
5494	19	17	12	18	18	18	14	28	 	5	84.71%	60	65	67	73.68	2.1
1174	19	15	12	19	15	11	15	27	 	5	78.24%	66	71	70	73.49	2.1
0961	13	12	19	18	17	16	3	27	 	5	73.53%	70	75	72	73.21	2.1
0046	16	16	16	17	17	18	17	26	 	1	84.12%	60	65	66	73.05	2.1
1939	17	15	12	19	11	11	16	28	 	5	75.88%	54	59	77	72.95	2.1
4171	18	13	19	17	17	15	17	17	 	2	78.24%	58	63	72	72.69	2
1207	20	17	19	20	19	20	19	29	2	 	97.06%	56	61	54	72.62	2
4072	17	16	17	18	17	16	15	26	 	4	83.53%	61	66	65	72.61	2
9370	18	17	13	15	16	12	19	15	 	5	73.53%	67	72	72	72.61	2
1126	17	16	16	15	18	18	20	28	 	5	87.06%	64	69	59	72.22	2
0469	15	19	16	15	17	14	19	27	 	 	83.53%	78	83	55	72.01	2
4478	18	8	17	16	16	13	18	26	 	5	77.65%	64	69	67	71.66	1.9
9715	20	17	18	19	20	16	20	27	 	5	92.35%	52	57	58	71.54	1.9
0937	14	17	16	16	15	19	12	27	 	5	80.00%	38	43	77	71.40	1.9
3214	19	15	17	16	9	13	15	12	 	5	68.24%	83	88	65	70.89	1.9
1125	18	17	18	18	19	18	14	26	 	3	87.06%	40	45	67	70.62	1.8
7133	19	16	18	18	19	17	19	26	 	5	89.41%	57	62	56	70.56	1.8
1590	19	16	11	17	16	13	15	27	 	2	78.82%	64	69	63	70.53	1.8
7814	13	11	16	15	16	8	11	22	 	3	65.88%	68	73	73	70.15	1.8
1753	17	12	19	19	17	16	18	29	 	2	86.47%	38	43	67	69.99	1.8
4661	14	17	9	17	19	15	16	18	 	3	73.53%	80	85	56	68.81	1.7
4161	18	18	18	18	19	17	17	22	 	5	86.47%	63	68	51	68.59	1.6
9378	18	18	0	19	18	11	13	26	 	5	72.35%	63	68	65	68.54	1.6
5046	19	19	20	18	19	17	17	30	 	5	93.53%	42	47	54	68.41	1.6
3571	16	12	11	19	17	16	12	27	 	5	76.47%	61	66	61	68.19	1.6
4727	14	11	10	16	14	3	1	29	 	5	57.65%	69	74	75	67.86	1.6
8199	17	13	16	17	15	16	16	28	 	5	81.18%	23	28	74	67.67	1.5
6715	18	17	16	18	 	17	19	 	 	1	61.76%	63	68	73	67.51	1.5
8721	17	20	18	18	19	17	20	18	 	5	86.47%	44	49	57	67.19	1.5
5545	19	18	16	17	19	18	11	 	 	5	69.41%	68	73	62	67.16	1.5
2913	19	19	15	17	20	18	19	19	 	3	85.88%	51	56	52	66.35	1.4
4951	11	14	10	13	14	13	10	29	 	5	67.06%	70	75	61	66.22	1.4
9685	8	13	12	17	12	9	14	12	 	1	57.06%	68	73	72	66.22	1.4
4227	16	18	17	16	13	11	 	 	 	5	53.53%	68	73	75	66.01	1.4
1898	18	14	15	14	14	 	17	13	 	5	61.76%	72	77	63	65.31	1.3
9938	10	15	10	7	13	5	12	7	 	5	46.47%	81	86	73	64.99	1.3
0904	18	15	13	15	16	 	16	 	 	5	54.71%	68	73	71	64.88	1.3
1560	18	17	16	17	17	 	 	25	 	5	64.71%	41	46	74	64.68	1.2
1578	14	12	0	17	19	14	18	26	 	5	70.59%	51	56	63	64.64	1.2
9968	13	19	14	19	8	12	19	10	 	5	67.06%	60	65	62	64.62	1.2
9950	20	19	15	14	15	16	15	24	 	3	81.18%	58	63	48	64.27	1.2
1644	17	18	14	16	12	12	15	15	 	5	70.00%	65	70	55	64.00	1.2
7675	10	16	16	12	17	17	19	10	 	2	68.82%	33	38	72	63.93	1.2
3071	15	11	6	16	14	10	5	7	 	5	49.41%	76	81	69	63.56	1.1
0608	19	17	11	17	 	 	 	 	 	5	37.65%	64	69	85	62.86	1.1
1750	19	14	0	18	15	14	16	2	 	5	57.65%	62	67	66	62.86	1.1
5896	16	17	16	17	15	15	16	24	 	5	80.00%	47	52	51	62.80	1
5953	16	13	14	17	18	14	11	21	 	5	72.94%	43	48	60	62.78	1
0911	16	16	20	13	 	7	9	11	 	5	54.12%	67	72	66	62.45	1
1512	18	14	11	16	14	5	 	7	 	5	50.00%	61	66	72	62.00	1
6756	18	19	18	13	1	12	19	13	 	5	66.47%	42	47	64	61.59	0.9
7822	15	14	16	18	18	16	17	28	 	5	83.53%	65	70	35	61.41	0.9
0917	 	 	17	18	14	11	11	23	 	5	55.29%	58	63	66	61.12	0.9
5123	15	11	11	14	16	5	 	 	 	5	42.35%	71	76	72	60.94	0.9
8524	18	19	18	18	17	19	17	10	 	5	80.00%	51	56	44	60.80	0.8
7068	18	13	18	16	17	17	14	27	 	5	82.35%	54	59	39	60.34	0.8
9331	18	19	17	18	15	7	11	 	 	5	61.76%	49	54	57	58.31	0.7
0765	17	18	17	17	17	0	13	14	 	5	66.47%	45	50	54	58.19	0.7
3298	16	5	17	18	16	17	14	27	 	5	76.47%	40	45	45	57.59	0.7
8939	17	18	12	8	14	15	9	10	 	5	60.59%	55	60	53	57.44	0.7
4388	13	13	12	11	6	10	13	7	 	4	50.00%	60	65	60	57.00	0.7
4226	17	12	17	14	13	 	11	 	 	5	49.41%	64	69	58	56.76	0.7
0767	12	17	15	9	18	10	5	24	 	5	64.71%	57	62	46	56.68	0.7
2952	18	16	15	17	17	17	20	 	 	2	70.59%	34	39	51	56.44	0.7
5074	9	19	17	16	 	17	18	8	 	1	61.18%	45	50	54	56.07	0.7
0185	19	13	8	13	14	12	16	28	 	5	72.35%	51	56	39	55.74	0
0048	15	14	17	13	 	17	10	26	 	5	65.88%	45	50	45	54.35	0
0494	10	16	 	14	 	 	 	 	 	5	23.53%	83	88	66	53.41	0
0204	13	12	16	9	18	10	15	 	 	5	54.71%	72	77	39	52.88	0
0442	 	14	15	17	13	 	17	6	 	1	48.24%	41	46	58	51.69	0
9763	18	16	0	18	12	9	10	 	 	3	48.82%	56	61	42	48.53	0
1964	16	7	8	15	14	12	 	 	 	3	42.35%	44	49	36	41.14	0
9777	16	14	17	19	17	15	19	25	 	5	83.53%	 	 	 	33.41	0
8431	5	1	2	13	2	 	 	 	 	3	13.53%	45	50	42	32.21	0
1688	 	18	9	16	 	 	7	20	 	4	41.18%	55	60	 	28.47	I
3151	 	5	6	 	 	 	 	 	 	5	6.47%	66	71	28	27.99	0
