code	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	explore	weekly %	midterm	new mid	final	total	grade
97197	17	19	20	19	19	19	19	30	2	3	0	96.5%	80	82	71	83.39	3.3
97424	19	18	18	17	18	15	18	26	 	5	0	87.6%	50	52	44	63.06	1.7
97459	19	18	17	18	11	19	19	17	 	5	6	82.4%	76	78	64	74.14	2.6
97943	17	17	19	16	19	12	19	27	 	3	0	85.9%	88	90	75	82.35	3.2
98102	18	16	17	16	17	16	19	18	 	5	0	80.6%	61	63	53	66.04	1.9
98357	15	16	16	17	14	14	14	23	 	5	0	75.9%	72	74	79	76.75	2.8
98558	16	19	17	18	17	15	20	27	 	2	7	89.0%	83	85	70	80.61	3.1
98775	16	16	18	17	16	14	19	28	 	5	3	85.3%	88	90	69	79.72	3.0
98839	17	17	13	17	19	18	18	29	2	1	0	88.2%	89	91	85	87.49	3.7
99088	18	14	13	10	16	14	15	26	 	5	0	74.1%	66	68	70	71.25	2.3
99196	17	19	17	19	18	19	19	28	0	2	9	93.5%	98	100	82	90.21	3.9
99312	17	19	18	18	19	19	20	26	2	3	5	93.9%	94	96	83	89.97	3.9
99344	19	14	15	13	11	15	20	11	 	5	0	69.4%	68	70	65	67.76	2.0
99375	19	15	18	18	17	19	17	29	2	3	0	90.6%	81	83	69	80.44	3.1
99582	16	18	16	16	16	13	16	27	 	4	0	81.2%	74	76	64	73.27	2.5
99635	18	14	14	17	15	19	16	25	2	0	0	82.4%	74	76	73	77.34	2.8

mean	16.7	16.6	16.6	16.6	17.0	16.2	16.6	25.6	1.8	3.1	1.0	81.5%	77.3	79.3	71.9	76.08	2.8
median	17	17	17	17	17	17	17	27	2	4	0	85.3%	79	81	73	79.28	3
