last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	Late_Days	section	explore	weekly %	midterm	final	total	grade
6132	8	16	18	16	17	20	15	16	 	20	0.00	87.95%	93	88	88.98	3.5
6376	10	16	20	18	19	18	20	19	 	20	0.00	96.39%	94	79	88.95	3.5
5662	10	15	18	18	20	16	19	19	 	20	0.00	93.37%	92	83	88.95	3.5
2240	9	15	19	17	15	15	19	21	 	20	0.00	90.36%	96	84	88.94	3.5
9753	8	16	15	18	18	15	19	20	3	20	0.00	89.76%	95	85	88.90	3.5
3530	9	16	17	16	17	9	13	16	5	20	0.00	80.12%	100	92	88.85	3.5
2565	9	15	12	18	18	17	18	20	1	20	0.00	88.55%	89	89	88.82	3.5
1092	10	16	19	18	18	19	20	21	1	20	0.00	96.99%	98	76	88.80	3.5
7637	10	15	16	16	17	17	18	17	4	20	0.00	87.95%	90	89	88.78	3.5
3850	8	15	20	17	18	19	20	18	1	20	0.00	93.37%	95	81	88.75	3.5
5934	9	15	19	15	17	18	18	19	3	20	0.00	90.36%	93	85	88.74	3.5
4892	10	15	20	19	20	19	20	21	2	20	0.00	98.80%	92	77	88.72	3.5
8592	10	16	20	19	20	17	18	19	1	20	0.00	95.78%	98	77	88.71	3.5
7423	9	16	20	19	17	18	19	20	3	20	0.00	95.18%	91	81	88.67	3.4
3551	8	15	20	18	17	18	16	21	 	20	0.00	92.17%	81	89	88.67	3.4
7013	10	15	19	18	13	16	18	19	4	20	0.00	89.16%	95	85	88.66	3.4
3395	9	16	19	18	18	18	18	19	 	20	0.00	93.37%	92	82	88.55	3.4
9772	9	16	20	18	14	19	20	17	1	20	1.00	92.77%	87	85	88.51	3.4
6220	10	15	18	18	18	15	19	16	 	20	0.00	89.76%	89	87	88.50	3.4
2757	9	12	14	17	18	20	17	17	2	20	0.00	86.75%	93	88	88.50	3.4
0174	10	16	19	19	20	19	20	20	2	20	0.00	98.19%	88	79	88.48	3.4
2235	10	16	20	19	19	20	19	 	1	20	0.00	86.14%	92	89	88.46	3.4
3474	10	15	16	19	16	17	16	18	 	20	0.00	88.55%	89	88	88.42	3.4
4431	9	16	20	18	18	18	16	20	4	20	0.00	93.37%	89	83	88.35	3.4
3633	8	16	16	16	16	16	19	18	1	20	0.00	87.35%	91	88	88.34	3.4
4463	 	15	20	18	18	19	17	18	1	15	0.00	84.34%	99	87	88.33	3.4
6959	9	16	20	16	19	20	18	20	3	20	1.00	95.78%	92	79	88.31	3.4
3282	10	16	18	17	18	18	19	18	4	20	0.00	92.77%	98	79	88.31	3.4
2883	9	15	19	20	17	19	17	18	5	20	0.00	92.77%	94	81	88.31	3.4
8963	8	15	20	17	16	18	15	20	1	20	0.00	89.76%	90	86	88.30	3.4
2697	9	16	17	19	19	20	18	19	2	20	0.00	94.58%	92	80	88.23	3.4
1413	10	16	20	15	18	14	19	20	1	20	0.00	91.57%	90	84	88.23	3.4
1177	9	16	16	19	19	18	20	19	 	20	0.00	93.98%	87	83	88.19	3.4
7649	9	16	19	18	19	18	18	19	 	20	0.00	93.98%	83	85	88.19	3.4
2275	10	11	20	18	20	17	19	19	5	20	0.33	92.97%	95	80	88.19	3.4
4329	9	16	19	19	17	19	20	20	 	20	0.00	95.78%	93	78	88.11	3.4
4668	10	16	20	16	16	13	18	19	3	20	0.00	89.16%	88	87	88.06	3.4
6413	10	16	16	17	18	17	18	16	1	20	0.00	89.16%	100	81	88.06	3.4
9912	9	16	20	18	18	18	18	19	3	20	0.00	93.98%	98	77	87.99	3.4
5789	9	16	19	18	17	16	18	16	5	20	0.00	89.76%	92	84	87.90	3.4
0217	9	16	19	17	18	15	13	17	 	20	0.00	86.75%	94	86	87.90	3.4
7473	10	16	19	17	18	19	20	19	5	20	0.00	95.18%	85	82	87.87	3.4
5247	9	15	14	18	18	16	18	20	2	20	0.00	89.16%	91	85	87.86	3.4
7119	10	15	18	19	17	18	20	20	5	20	0.00	94.58%	92	79	87.83	3.4
3928	9	15	19	18	16	18	19	18	3	20	0.00	91.57%	90	83	87.83	3.4
0205	9	16	17	18	16	20	18	17	2	20	0.00	90.96%	93	82	87.79	3.4
1749	9	15	17	15	16	19	19	16	1	20	0.00	87.95%	93	85	87.78	3.4
0964	9	15	18	17	19	19	17	16	 	20	0.00	90.36%	98	80	87.74	3.4
1459	8	15	20	15	15	20	17	20	 	20	0.00	90.36%	88	85	87.74	3.4
5553	8	14	20	17	17	16	17	 	 	20	0.00	77.71%	95	94	87.68	3.3
4737	8	16	18	15	19	19	20	18	 	20	0.00	92.17%	96	79	87.67	3.3
0429	10	16	16	16	19	15	17	19	3	20	0.00	89.16%	80	90	87.66	3.3
7646	10	15	18	16	18	17	17	17	2	20	0.00	89.16%	94	83	87.66	3.3
1061	10	16	20	19	17	17	18	20	3	20	0.00	94.58%	85	82	87.63	3.3
3105	8	16	13	17	18	17	20	18	3	20	0.00	88.55%	89	86	87.62	3.3
0955	9	16	20	16	18	17	19	16	4	20	0.00	90.96%	86	85	87.59	3.3
1288	9	15	15	18	18	19	16	16	 	20	0.00	87.95%	84	89	87.58	3.3
5485	10	14	20	17	20	12	15	18	 	20	0.00	87.95%	86	88	87.58	3.3
4083	9	15	20	17	17	16	20	20	4	20	0.00	92.77%	88	82	87.51	3.3
